# time  ID  size  fromHost  toHost  TTL  isResponse
4120.0000 M140 1788 n33 n25 2 N 
4151.0000 M141 1726 n23 n20 2 N 
4176.0000 M142 1013 n8 n13 2 N 
4201.0000 M143 1690 n34 n38 2 N 
4229.0000 M144 1105 n30 n14 2 N 
4260.0000 M145 1487 n20 n33 2 N 
4288.0000 M146 1429 n16 n34 2 N 
4314.0000 M147 1450 n22 n23 2 N 
4348.0000 M148 1647 n18 n16 2 N 
4378.0000 M149 1739 n35 n22 2 N 
4408.0000 M150 1481 n30 n12 2 N 
4435.0000 M151 1252 n20 n31 2 N 
4469.0000 M152 1908 n24 n38 2 N 
4500.0000 M153 1167 n11 n18 2 N 
4526.0000 M154 1649 n29 n22 2 N 
4560.0000 M155 1999 n38 n16 2 N 
4592.0000 M156 1049 n32 n23 2 N 
4624.0000 M157 1674 n8 n36 2 N 
4651.0000 M158 1913 n39 n9 2 N 
4683.0000 M159 1734 n14 n32 2 N 
4710.0000 M160 1439 n13 n14 2 N 
4736.0000 M161 1955 n16 n9 2 N 
4764.0000 M162 1220 n27 n25 2 N 
4790.0000 M163 1543 n8 n35 2 N 
4818.0000 M164 1592 n26 n39 2 N 
4852.0000 M165 1358 n2 n31 2 N 
4880.0000 M166 1197 n9 n12 2 N 
4910.0000 M167 1411 n6 n31 2 N 
4941.0000 M168 1098 n24 n25 2 N 
4973.0000 M169 1916 n6 n36 2 N 
5003.0000 M170 1925 n22 n25 2 N 
5034.0000 M171 1578 n38 n24 2 N 
5064.0000 M172 1855 n14 n16 2 N 
5095.0000 M173 1886 n4 n10 2 N 
5128.0000 M174 1628 n27 n30 2 N 
5158.0000 M175 1901 n14 n8 2 N 
5188.0000 M176 1688 n34 n1 2 N 
5221.0000 M177 1709 n34 n4 2 N 
5250.0000 M178 1122 n32 n39 2 N 
5284.0000 M179 1653 n5 n11 2 N 
5311.0000 M180 1604 n32 n40 2 N 
5336.0000 M181 1440 n5 n14 2 N 
5364.0000 M182 1280 n36 n9 2 N 
5389.0000 M183 1114 n9 n31 2 N 
5419.0000 M184 1540 n14 n31 2 N 
5449.0000 M185 1681 n25 n10 2 N 
5476.0000 M186 1135 n20 n15 2 N 
